
Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Version 19.22.0.0.0

Export file created by EXPORT:V19.00.00 via conventional path

Warning: the objects were exported by SA, not by you

import done in UTF8 character set and AL16UTF16 NCHAR character set
import server uses WE8ISO8859P1 character set (possible charset conversion)
. importing SA's objects into SAREFW
. importing SA's objects into SAREFW
. . importing table                "TABLE_HOLIDAY"        240 rows imported
. . importing table            "TABLE_HOLIDAY_GRP"         18 rows imported
. . importing table             "TABLE_JPDY_GROUP"         47 rows imported
. . importing table             "TABLE_JPDY_LEVEL"          3 rows imported
. . importing table             "TABLE_JPDY_PARAM"        190 rows imported
. . importing table               "TABLE_JPDY_SET"        129 rows imported
. . importing table              "TABLE_JSP_CACHE"          0 rows imported
. . importing table             "TABLE_LEAD_STAGE"          4 rows imported
. . importing table             "TABLE_LIFE_CYCLE"          1 rows imported
. . importing table            "TABLE_LIST_STRUCT"          6 rows imported
. . importing table                 "TABLE_LOCALE"         11 rows imported
. . importing table                 "TABLE_MEDIUM"         19 rows imported
. . importing table              "TABLE_MILESTONE"         54 rows imported
. . importing table              "TABLE_MOD_LEVEL"        691 rows imported
. . importing table               "TABLE_MSG_ATTR"          0 rows imported
. . importing table             "TABLE_NUM_SCHEME"         70 rows imported
. . importing table            "TABLE_OBJECT_FORM"        107 rows imported
. . importing table             "TABLE_OBJECT_TAB"        205 rows imported
. . importing table           "TABLE_OBJ_TAB_ROLE"       1259 rows imported
. . importing table               "TABLE_OFFERING"          0 rows imported
. . importing table           "TABLE_OFFERING_GRP"          0 rows imported
. . importing table      "TABLE_OFFR_GRP_GRP_ROLE"          0 rows imported
. . importing table          "TABLE_OFFR_GRP_ROLE"          0 rows imported
. . importing table             "TABLE_OFFR_PRICE"          0 rows imported
. . importing table        "TABLE_OFFR_PRICE_ROLE"          0 rows imported
. . importing table              "TABLE_OFFR_PROD"          0 rows imported
. . importing table            "TABLE_PART_ACTION"         11 rows imported
. . importing table             "TABLE_PART_CLASS"          1 rows imported
. . importing table               "TABLE_PART_NUM"        591 rows imported
. . importing table               "TABLE_PART_QTY"          0 rows imported
. . importing table              "TABLE_PART_ROLE"          0 rows imported
. . importing table           "TABLE_PRICE_FACTOR"          0 rows imported
. . importing table             "TABLE_PRICE_INST"        635 rows imported
. . importing table             "TABLE_PRICE_PROG"          3 rows imported
. . importing table              "TABLE_PRICE_QTY"        635 rows imported
. . importing table             "TABLE_PRICE_TYPE"          6 rows imported
. . importing table              "TABLE_PRIVCLASS"        183 rows imported
. . importing table                "TABLE_PROCESS"        163 rows imported
. . importing table              "TABLE_PROC_DIAG"        163 rows imported
. . importing table           "TABLE_PROFILE_ATTR"          0 rows imported
. . importing table              "TABLE_PROP_NAME"        577 rows imported
. . importing table             "TABLE_PRT_DOMAIN"         20 rows imported
. . importing table            "TABLE_PX_XML_DSTB"          0 rows imported
. . importing table                  "TABLE_QUEUE"        212 rows imported
. . importing table           "TABLE_QUICK_ACTION"         67 rows imported
. . importing table        "TABLE_QUICK_ACT_LABEL"        239 rows imported
. . importing table        "TABLE_QUICK_ACT_ORDER"        102 rows imported
. . importing table              "TABLE_RC_CONFIG"          1 rows imported
. . importing table         "TABLE_RESPONSE_LEVEL"          0 rows imported
. . importing table               "TABLE_ROLE_DEF"         23 rows imported
. . importing table            "TABLE_ROL_FN_AUTH"      12290 rows imported
. . importing table               "TABLE_RQST_DEF"        265 rows imported
. . importing table          "TABLE_RQST_FLD_ROLE"        937 rows imported
. . importing table            "TABLE_RQST_POLICY"          4 rows imported
. . importing table                   "TABLE_RULE"          4 rows imported
. . importing table              "TABLE_RULE_COND"        443 rows imported
. . importing table            "TABLE_RULE_OBJECT"         24 rows imported
. . importing table            "TABLE_SALE_CHANNL"          0 rows imported
. . importing table               "TABLE_SHOWPAGE"          0 rows imported
. . importing table         "TABLE_SOCIAL_PROFILE"          0 rows imported
. . importing table         "TABLE_SOCIAL_SESSION"          0 rows imported
. . importing table                 "TABLE_SOURCE"       1647 rows imported
. . importing table           "TABLE_STAGE_ASSIGN"          9 rows imported
. . importing table             "TABLE_STAGE_TASK"          0 rows imported
. . importing table             "TABLE_STATE_PROV"         78 rows imported
. . importing table              "TABLE_STRING_DB"      48337 rows imported
. . importing table                "TABLE_SVC_FLD"          0 rows imported
. . importing table               "TABLE_SVC_RQST"          0 rows imported
. . importing table               "TABLE_SVC_TYPE"         55 rows imported
. . importing table               "TABLE_TAB_DEFN"         45 rows imported
. . importing table               "TABLE_TASK_SET"          0 rows imported
. . importing table                "TABLE_TBL_DEF"          3 rows imported
. . importing table              "TABLE_TIME_ZONE"         30 rows imported
. . importing table            "TABLE_TM_TASK_DEF"          4 rows imported
. . importing table          "TABLE_TM_TASK_FIELD"         32 rows imported
. . importing table            "TABLE_TM_TASK_GRP"          2 rows imported
. . importing table            "TABLE_TM_TASK_OBJ"          2 rows imported
. . importing table          "TABLE_TM_TASK_PARAM"         16 rows imported
. . importing table                 "TABLE_TRANSN"       1598 rows imported
. . importing table             "TABLE_TRANSN_FLD"         11 rows imported
. . importing table             "TABLE_TRANSN_MAP"         96 rows imported
. . importing table             "TABLE_VALUE_ITEM"      17911 rows imported
. . importing table             "TABLE_WEB_OBJECT"        164 rows imported
. . importing table              "TABLE_WINDOW_DB"        828 rows imported
. . importing table             "TABLE_WK_WORK_HR"         26 rows imported
. . importing table                "TABLE_WORK_HR"        161 rows imported
. . importing table                "TABLE_XFILTER"        704 rows imported
. . importing table   "TABLE_X_3_CREDIT_LIMIT_REF"          6 rows imported
. . importing table      "TABLE_X_3_ECA_FIN_ACCNT"          0 rows imported
. . importing table        "TABLE_X_3_LST_CNT_ELM"      33392 rows imported
. . importing table        "TABLE_X_3_LST_CNT_LST"         22 rows imported
. . importing table       "TABLE_X_3_LST_CNT_MTRX"       2837 rows imported
. . importing table       "TABLE_X_3_LST_CNT_TREE"        173 rows imported
. . importing table     "TABLE_X_3_OTB_COMM_TMPLT"        130 rows imported
. . importing table       "TABLE_X_3_REF_RELEASES"        156 rows imported
. . importing table "TABLE_X_3_SEARCH_LIMIT_PATTERN"        280 rows imported
. . importing table "TABLE_X_3_SEARCH_LIMIT_SCREEN"         39 rows imported
. . importing table        "TABLE_X_CUSTOMER_AUTH"         43 rows imported
. . importing table   "TABLE_X_SEARCH_LIMITATIONS"          0 rows imported
. . importing table        "TABLE_X_SECURITY_CONF"        207 rows imported
. . importing table            "TABLE_X_VALUE_MAP"       1668 rows imported
Import terminated successfully without warnings.
